Res0sem_21D,Res0sem_18D,Res0sem_13C,Res0sem_09A,Res0sem_11B,Res0sem_03C,Res0sem_17C,Res0sem_03A,Res0sem_17B,Res0sem_07C,Res0sem_10B,Res0sem_13B,Res0sem_20C,Res0sem_11D,Res0sem_12C,Res0sem_20A,Res0sem_09B,Res0sem_06A,Res0sem_10C,Res0sem_16B,Res0sem_19A,Res0sem_12D,Res0sem_09C,Res0sem_10A,Res0sem_18A,Res0sem_12B,Res0sem_08A,Res0sem_04D,Res0sem_15B,Res0sem_01A,Res0sem_16C,Res0sem_21A,Res0sem_18C,Res0sem_04A,Res0sem_19B,Res0sem_19C,Res0sem_07A,Res0sem_12A,Res0sem_01D,Res0sem_07B,Res0sem_18B,Res0sem_09D,Res0sem_15C,Res0sem_21C,Res0sem_05D,Res0sem_05B,Res0sem_01C,Res0sem_14C,Res0sem_05C,Res0sem_02B,Res0sem_20D,Res0sem_08D,Res0sem_03D,Res0sem_02C,Res0sem_08B,Res0sem_01B,Res0sem_06D,Res0sem_19D,Res0sem_16D,Res0sem_20B,Res0sem_15D,Res0sem_04B,Res0sem_02A,Res0sem_06C,Res0sem_13A,Res0sem_11C,Res0sem_06B,Res0sem_03B,Res0sem_14B,Res0sem_14D,Res0sem_17A,Res0sem_08C,Res0sem_16A,Res0sem_13D,Res0sem_04C,Res0sem_02D,Res0sem_21B,Res0sem_07D,Res0sem_11A,Res0sem_15A,Res0sem_17D
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0
73,14,81,170,39,74,117,286,49,299,83,64,200,14,19,55,172,16,65,142,97,12,28,86,261,19,53,88,35,22,58,400,40,285,347,68,172,37,16,195,131,16,213,94,12,39,15,317,15,42,137,8,14,174,23,43,3,8,77,614,39,143,214,14,56,31,25,123,104,52,79,68,115,38,311,52,28,27,17,56,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,8,0,16,0,0,14,0,0,0,8,0,0,0,0,0,0,0,0,8,0,3,0,1,0,66,0,3,0,0,0,0,0,0,0,11,0,0,0,14,2,0,0,129,0,0,1,0,0,0,0,0,0,0,0,16,0,1,0,0,1,0,4,1
414,35,5,3,17,18,2844,75,1748,51,20,4,23,39,92,6,10,34,6,50,39,248,8,32,240,275,26,132,7,4,39,635,121,34,5,15,20,151,302,29,277,22,3,89,31,13,9,168,12,11,1,608,53,148,47,7,42,11,20,31,20,26,11,60,38,9,60,38,18,9,19,359,726,10,32,377,51,15,22,4,2873
2,5,57,3,16,15,3,7,8,25,102,18,2,9,3,8,6,2,93,2,3,41,9,145,7,1,1,24,14,1,4,0,7,22,36,1,2,5,4,101,20,14,62,6,24,4,1,3,1,2,50,9,5,4,2,4,1,3,3,12,83,2,4,0,3,8,2,11,1,0,43,4,6,4,5,14,17,3,2,9,6
45,2,0,0,8,17,7,1,2,2,151,0,2,17,1,1,2,0,12,16,7,0,5,5,9,0,0,0,58,0,55,0,5,1,0,3,2,1,0,0,26,10,338,14,1,0,2,0,1,1,0,0,0,32,4,1,1,2,6,1,96,1,0,0,0,14,3,3,1,10,11,4,10,1,0,0,0,2,0,175,12
25,576,0,3,6,2,0,1,2,2,1,1,17,10,10,36,4,6,2,13,4,118,7,1,68,8,6,6,2,0,2,1,38,19,15,0,12,7,6,7,62,5,1,118,7,3,1,37,1,2,359,9,1,1,3,1,9,2,5,69,0,7,1,1,0,5,4,0,1,171,4,2,1,0,1,3,0,12,11,0,3
220,235,95,257,220,274,701,159,157,64,210,53,110,142,78,61,696,158,160,264,240,382,152,361,1005,199,70,134,125,128,339,725,355,101,385,358,28,1183,143,1741,299,733,38,167,109,128,27,126,44,45,223,416,141,70,143,162,282,82,126,190,462,110,117,99,59,123,105,144,523,338,364,159,965,337,136,263,140,194,185,98,354
0,1,0,1,0,0,0,0,0,0,0,0,0,15,131,0,0,0,1,11,0,150,0,0,0,1,0,2,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,67,10,0,19,6,2,0,2,3,18,2,1,0,3,1,123,2,0,1,1,0,0,3,6,3,0,141,169,2,1,34,1,1,0,1,1,0,0,1,22,1,2,0,15,3,6,0,0,1,11,1,7,0,4,6,1,1,0,0,2,0,13,4,11,0,0,1,2,0,0,11,0,0,0,1,1,0
198,40,2,26,1,4,10,0,19,3,36,2,10,17,5,2,42,3,18,7,5,1,6,34,5,4,4,17,5,2,12,76,15,5,16,2,1,2,4,1,24,146,121,0,30,8,0,10,2,4,6,18,7,13,4,5,5,9,11,218,119,16,40,7,7,2,10,5,93,287,8,4,21,12,3,169,1,112,9,6,26
