"CODE","Region","Production mode","Year","Treatment","Treatment_Group","Rendement","Proteine","TGW.g.","Nombre.Plants.avg"
"BF05","Nord","Conventional without fungicide ","2022","Conventionnel","Synthetic",NA,14,44.5,41.25
"BF07","Broye","Organic","2022","Evonta","E-beam",NA,9,40.41,45.75
"BF07","Broye","Organic","2022","Temoin non traite","Control",NA,9.3,41.58,41
"BF07","Broye","Organic","2022","Thermoseed","ThermoSeed",NA,9.8,41.94,39
"BT03","La Cote","Organic","2022","Evonta","E-beam",NA,11.3,42.67,57.75
"BT03","La Cote","Organic","2022","Temoin non traite","Control",NA,11.6,41.86,46
"BT03","La Cote","Organic","2022","Thermoseed","ThermoSeed",NA,11.9,42.63,57.5
"BT03","La Cote","Organic","2022","Tillecur","Tillecur",NA,11.9,40.27,49.5
"BT13","Chablais","Conventional with fungicide ","2022","Evonta","E-beam",NA,11,45.76,41.75
"BT13","Chablais","Conventional with fungicide ","2022","Temoin non traite","Control",NA,11.5,44.78,43.75
"BT13","Chablais","Conventional with fungicide ","2022","Thermoseed","ThermoSeed",NA,12.2,43.95,39.75
"BT13","Chablais","Conventional with fungicide ","2022","Tillecur","Tillecur",NA,12.2,44.35,42
"BT13","Chablais","Conventional with fungicide ","2022","Conventionnel","Synthetic",NA,13,40.23,43.75
"BT17","Broye","Conventional without fungicide ","2022","Thermoseed","ThermoSeed",NA,14.7,41.02,42
"BT17","Broye","Conventional without fungicide ","2022","Temoin non traite","Control",NA,15,41.52,45.5
"BT17","Broye","Conventional without fungicide ","2022","Conventionnel","Synthetic",NA,15.1,39,44.75
"BT17","Broye","Conventional without fungicide ","2022","Evonta","E-beam",NA,15.5,41.53,39.25
"BT17","Broye","Conventional without fungicide ","2022","Tillecur","Tillecur",NA,15.6,42.3,40.25
"BT20","Centre - Pied du Jura","Conventional without fungicide ","2022","Evonta","E-beam",NA,12.4,41.57,54.25
"BT20","Centre - Pied du Jura","Conventional without fungicide ","2022","Thermoseed","ThermoSeed",NA,12.5,42.6,45.5
"BT20","Centre - Pied du Jura","Conventional without fungicide ","2022","Temoin non traite","Control",NA,12.9,43.73,60.25
"BT20","Centre - Pied du Jura","Conventional without fungicide ","2022","Conventionnel","Synthetic",NA,13.7,43.05,48.25
"BT20","Centre - Pied du Jura","Conventional without fungicide ","2022","Tillecur","Tillecur",NA,14,40.52,54
"BT12","Chablais","Organic","2024","Evonta","E-beam",NA,13.4,38.45,NA
"BT12","Chablais","Organic","2024","Thermoseed","ThermoSeed",NA,14.3,37.59,NA
"BT12","Chablais","Organic","2024","Tillecur","Tillecur",NA,14.4,36.02,NA
"BT12","Chablais","Organic","2024","Temoin non traite","Control",NA,14.6,39.77,NA
